scale,metric,db_a,db_b,mean_delta,ci_low,ci_high,ci_contains_zero,distinguishable_at_95pct
S4,mrr@10,milvus,weaviate,-0.019563492063492064,-0.035277976190476186,-0.00534900793650794,False,True
S4,ndcg@10,milvus,weaviate,-0.020092867859868208,-0.03550122564071481,-0.006068555564861756,False,True
S4,recall@10,elasticsearch,weaviate,0.002,-0.006,0.012,True,False
S4,mrr@10,elasticsearch,weaviate,0.001,-0.007,0.009,True,False
S4,ndcg@10,elasticsearch,weaviate,0.001261859507142915,-0.006738140492857084,0.009785578521428745,True,False
S5,recall@10,qdrant,milvus,0.002,-0.006,0.012,True,False
S5,mrr@10,qdrant,milvus,0.0013523809523809523,-0.004828571428571429,0.0077523809523809524,True,False
S5,ndcg@10,qdrant,milvus,0.0015355597987783327,-0.005038588712311026,0.00842191260538978,True,False
S5,recall@10,qdrant,elasticsearch,-0.002,-0.006,0.0,True,False
S5,mrr@10,qdrant,elasticsearch,-0.002,-0.006,0.0,True,False
S5,ndcg@10,qdrant,elasticsearch,-0.002,-0.006,0.0,True,False
S5,recall@10,qdrant,weaviate,0.008,0.002,0.016,False,True
S5,mrr@10,qdrant,weaviate,0.006,0.001,0.013,False,True
S5,ndcg@10,qdrant,weaviate,0.006523719014285831,0.001261859507142915,0.013785578521428747,False,True
S5,recall@10,milvus,elasticsearch,-0.004,-0.012,0.004,True,False
S5,mrr@10,milvus,elasticsearch,-0.0033523809523809526,-0.00879047619047619,0.0006666666666666668,True,False
S5,ndcg@10,milvus,elasticsearch,-0.0035355597987783323,-0.0094695249492059,0.0010474883392513814,True,False
S5,recall@10,milvus,weaviate,0.006,-0.002,0.016,True,False
S5,mrr@10,milvus,weaviate,0.004647619047619047,-0.003152380952380952,0.0128,True,False
S5,ndcg@10,milvus,weaviate,0.004988159215507498,-0.0027523606946202677,0.013250018722650412,True,False
S5,recall@10,elasticsearch,weaviate,0.01,0.002,0.02,False,True
S5,mrr@10,elasticsearch,weaviate,0.008,0.002,0.016,False,True
S5,ndcg@10,elasticsearch,weaviate,0.00852371901428583,0.002,0.01704743802857166,False,True
S6,recall@10,qdrant,milvus,-0.002,-0.012,0.006,True,False
S6,mrr@10,qdrant,milvus,-0.006388888888888889,-0.01388888888888889,-0.00016666666666666674,False,True
S6,ndcg@10,qdrant,milvus,-0.005216987860895346,-0.012602059991327963,0.0011077783627261883,True,False
S6,recall@10,qdrant,elasticsearch,-0.004,-0.01,0.0,True,False
S6,mrr@10,qdrant,elasticsearch,-0.004,-0.01,0.0,True,False
S6,ndcg@10,qdrant,elasticsearch,-0.004,-0.01,0.0,True,False
S6,recall@10,qdrant,weaviate,0.007,0.001,0.015,False,True
S6,mrr@10,qdrant,weaviate,0.005,0.00016666666666666674,0.011666666666666667,False,True
S6,ndcg@10,qdrant,weaviate,0.004949000617824488,0.0005840593484403583,0.011080651919384036,False,True
S6,recall@10,milvus,elasticsearch,-0.002,-0.008,0.004,True,False
S6,mrr@10,milvus,elasticsearch,0.002388888888888889,-0.0012777777777777776,0.00688888888888889,True,False
S6,ndcg@10,milvus,elasticsearch,0.0012169878608953462,-0.0027227062322935725,0.005282460959698057,True,False
S6,recall@10,milvus,weaviate,0.009,-0.002,0.021,True,False
S6,mrr@10,milvus,weaviate,0.01138888888888889,0.002666666666666667,0.0215,False,True
S6,ndcg@10,milvus,weaviate,0.010165988478719835,0.0015391877021927898,0.01978135546025532,False,True
S6,recall@10,elasticsearch,weaviate,0.011,0.003,0.021,False,True
S6,mrr@10,elasticsearch,weaviate,0.009,0.0019958333333333373,0.017833333333333336,False,True
S6,ndcg@10,elasticsearch,weaviate,0.008949000617824488,0.002,0.01740158938888632,False,True
